DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:45:27.218,0,0.39264908,0.1436521,9.854534,
2023-1-31,10:45:27.420,202,0.30645782,0.076614454,9.835381,
2023-1-31,10:45:27.620,402,0.35434186,0.076614454,9.854534,
2023-1-31,10:45:27.820,602,0.33518824,0.12449849,9.844957,
2023-1-31,10:45:28.18,801,0.36391866,0.15322891,9.854534,
2023-1-31,10:45:28.218,1001,0.40222588,0.10534488,9.844957,
2023-1-31,10:45:28.418,1201,0.37349546,0.1340753,9.864111,
2023-1-31,10:45:28.623,1405,0.37349546,0.12449849,9.864111,
2023-1-31,10:45:28.822,1604,0.36391866,0.11492168,9.816227,
2023-1-31,10:45:29.23,1805,0.35434186,0.15322891,9.844957,
2023-1-31,10:45:29.219,2001,0.34476504,0.1436521,9.835381,
2023-1-31,10:45:29.422,2204,0.37349546,0.10534488,9.844957,
2023-1-31,10:45:29.622,2404,0.36391866,0.12449849,9.844957,
2023-1-31,10:45:29.821,2603,0.37349546,0.12449849,9.816227,
2023-1-31,10:45:30.24,2806,0.39264908,0.095768064,9.825804,
2023-1-31,10:45:30.221,3003,0.35434186,0.1340753,9.835381,
2023-1-31,10:45:30.420,3203,0.38307226,0.10534488,9.854534,
2023-1-31,10:45:30.620,3402,0.37349546,0.1340753,9.864111,
2023-1-31,10:45:30.822,3604,0.35434186,0.12449849,9.854534,
2023-1-31,10:45:31.19,3802,0.36391866,0.1340753,9.873688,
2023-1-31,10:45:31.220,4002,0.37349546,0.11492168,9.844957,
2023-1-31,10:45:31.420,4202,0.18195933,2.930503,9.864111,
2023-1-31,10:45:31.620,4402,0.02873042,6.4739213,8.925584,
2023-1-31,10:45:31.821,4603,0.35434186,-0.02873042,-3.9456444,
2023-1-31,10:45:32.20,4803,-0.15322891,-1.7908629,9.136273,
2023-1-31,10:45:32.220,5002,-0.038307227,-1.6376339,9.394848,
2023-1-31,10:45:32.421,5203,0.2873042,-0.047884032,9.854534,
2023-1-31,10:45:32.620,5402,0.20111294,0.009576807,9.873688,
2023-1-31,10:45:32.820,5603,0.25857377,-0.038307227,9.844957,
2023-1-31,10:45:33.20,5802,0.23942018,-0.06703765,9.883265,
2023-1-31,10:45:33.221,6003,0.2681506,0.0,9.844957,
2023-1-31,10:45:33.421,6203,0.2681506,-0.047884032,9.835381,
2023-1-31,10:45:33.620,6402,0.20111294,0.0,9.844957,
2023-1-31,10:45:33.821,6603,0.33518824,0.038307227,9.883265,
2023-1-31,10:45:34.20,6803,0.22026655,0.009576807,9.844957,
2023-1-31,10:45:34.227,7010,0.23942018,-0.047884032,9.873688,
