DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:47:22.364,0,0.49799395,0.047884032,9.844957,
2023-1-31,10:47:22.431,67,0.45968673,0.047884032,9.883265,
2023-1-31,10:47:22.501,136,0.50757074,0.05746084,9.892841,
2023-1-31,10:47:22.565,201,0.5267244,0.047884032,9.854534,
2023-1-31,10:47:22.630,265,0.46926352,0.08619126,9.844957,
2023-1-31,10:47:22.698,333,0.4309563,0.10534488,9.825804,
2023-1-31,10:47:22.766,401,0.45010993,0.038307227,9.854534,
2023-1-31,10:47:22.830,465,0.50757074,0.08619126,9.835381,
2023-1-31,10:47:22.896,531,0.48841715,0.12449849,9.825804,
2023-1-31,10:47:22.962,597,0.48841715,0.038307227,9.825804,
2023-1-31,10:47:23.27,663,0.45968673,0.05746084,9.835381,
2023-1-31,10:47:23.94,730,0.47884035,0.06703765,9.873688,
2023-1-31,10:47:23.160,795,0.46926352,0.009576807,9.864111,
2023-1-31,10:47:23.226,862,0.47884035,0.038307227,9.835381,
2023-1-31,10:47:23.292,928,0.47884035,0.06703765,9.835381,
2023-1-31,10:47:23.357,993,0.49799395,0.047884032,9.873688,
2023-1-31,10:47:23.424,1059,0.49799395,0.047884032,9.864111,
2023-1-31,10:47:23.493,1128,0.48841715,0.02873042,9.825804,
2023-1-31,10:47:23.553,1189,0.51714754,0.047884032,9.883265,
2023-1-31,10:47:23.619,1255,0.49799395,0.08619126,9.854534,
2023-1-31,10:47:23.689,1324,0.46926352,0.02873042,9.883265,
2023-1-31,10:47:23.754,1389,0.49799395,0.038307227,9.835381,
2023-1-31,10:47:23.820,1455,0.45968673,0.06703765,9.864111,
2023-1-31,10:47:23.885,1521,0.49799395,0.05746084,10.036493,
2023-1-31,10:47:23.951,1586,0.5650316,0.90021986,10.007763,
2023-1-31,10:47:24.19,1655,0.7374141,2.6623523,10.093954,
2023-1-31,10:47:24.82,1718,1.2545617,3.3327289,9.672575,
2023-1-31,10:47:24.148,1783,1.6663644,7.690176,8.6574335,
2023-1-31,10:47:24.216,1851,0.92895025,5.497087,11.176133,
2023-1-31,10:47:24.281,1917,0.50757074,-1.5131354,10.400413,
2023-1-31,10:47:24.347,1982,0.41180268,-1.4748282,9.500193,
2023-1-31,10:47:24.414,2049,-0.2681506,-1.3599066,14.614207,
2023-1-31,10:47:24.479,2114,0.19153613,-0.82360536,0.45968673,
2023-1-31,10:47:24.545,2181,0.2777274,-0.9768343,9.461885,
2023-1-31,10:47:24.612,2248,0.33518824,-1.4460979,10.007763,
2023-1-31,10:47:24.674,2310,0.2873042,-1.1587936,8.130709,
2023-1-31,10:47:24.740,2376,0.40222588,-1.3599066,10.888829,
2023-1-31,10:47:24.808,2443,0.46926352,-1.5227122,9.883265,
2023-1-31,10:47:24.876,2511,0.39264908,-1.541866,10.697293,
2023-1-31,10:47:24.942,2577,0.4213795,-1.4173675,9.892841,
2023-1-31,10:47:25.7,2642,0.38307226,-1.2545617,9.672575,
2023-1-31,10:47:25.74,2710,0.25857377,-0.02873042,9.931149,
2023-1-31,10:47:25.140,2775,0.2681506,-0.019153614,9.835381,
2023-1-31,10:47:25.206,2841,0.25857377,-0.038307227,9.844957,
2023-1-31,10:47:25.272,2908,0.32561144,-0.019153614,9.864111,
2023-1-31,10:47:25.337,2973,0.2777274,0.019153614,9.864111,
2023-1-31,10:47:25.404,3039,0.2873042,-0.05746084,9.835381,
2023-1-31,10:47:25.470,3105,0.2777274,-0.009576807,9.854534,
2023-1-31,10:47:25.536,3171,0.2873042,0.0,9.835381,
2023-1-31,10:47:25.602,3237,0.2681506,-0.038307227,9.873688,
2023-1-31,10:47:25.667,3303,0.2873042,-0.019153614,9.902418,
2023-1-31,10:47:25.734,3369,0.23942018,-0.05746084,9.873688,
2023-1-31,10:47:25.799,3435,0.2873042,-0.02873042,9.835381,
2023-1-31,10:47:25.866,3501,0.2681506,0.009576807,9.835381,
2023-1-31,10:47:25.932,3567,0.2681506,-0.038307227,9.864111,
2023-1-31,10:47:25.997,3633,0.31603462,0.009576807,9.844957,
2023-1-31,10:47:26.63,3699,0.2777274,-0.038307227,9.844957,
2023-1-31,10:47:26.129,3764,0.2873042,-0.038307227,9.864111,
2023-1-31,10:47:26.196,3831,0.2681506,0.0,9.854534,
2023-1-31,10:47:26.261,3896,0.2777274,0.0,9.844957,
2023-1-31,10:47:26.327,3963,0.2777274,-0.038307227,9.854534,
2023-1-31,10:47:26.394,4029,0.2681506,-0.02873042,9.873688,
2023-1-31,10:47:26.457,4093,0.24899697,0.02873042,9.844957,
2023-1-31,10:47:26.523,4159,0.30645782,-0.047884032,9.797073,
2023-1-31,10:47:26.590,4225,0.29688102,0.02873042,9.844957,
2023-1-31,10:47:26.656,4292,0.29688102,-0.038307227,9.854534,
2023-1-31,10:47:26.722,4358,0.29688102,-0.02873042,9.844957,
2023-1-31,10:47:26.787,4423,0.34476504,-0.02873042,9.864111,
2023-1-31,10:47:26.856,4491,0.24899697,0.02873042,9.864111,
2023-1-31,10:47:26.922,4557,0.2873042,-0.076614454,9.844957,
2023-1-31,10:47:26.987,4623,0.2681506,-0.009576807,9.854534,
2023-1-31,10:47:27.77,4713,0.29688102,-0.05746084,9.844957,
2023-1-31,10:47:27.116,4752,0.25857377,0.0,9.730036,
