DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:47:48.342,0,0.37349546,0.047884032,9.682152,
2023-1-31,10:47:48.361,19,0.4405331,0.02873042,10.036493,
2023-1-31,10:47:48.389,47,0.32561144,0.11492168,9.720459,
2023-1-31,10:47:48.406,64,0.39264908,0.11492168,9.940725,
2023-1-31,10:47:48.424,81,0.39264908,0.076614454,9.768343,
2023-1-31,10:47:48.442,100,0.39264908,0.047884032,9.931149,
2023-1-31,10:47:48.461,119,0.34476504,0.06703765,9.816227,
2023-1-31,10:47:48.486,144,0.35434186,0.076614454,9.873688,
2023-1-31,10:47:48.502,160,0.39264908,0.095768064,9.844957,
2023-1-31,10:47:48.523,181,0.38307226,0.08619126,9.844957,
2023-1-31,10:47:48.542,200,0.39264908,0.06703765,9.835381,
2023-1-31,10:47:48.573,230,0.37349546,0.076614454,9.835381,
2023-1-31,10:47:48.587,245,0.41180268,0.047884032,9.864111,
2023-1-31,10:47:48.602,260,0.34476504,0.095768064,9.825804,
2023-1-31,10:47:48.623,281,0.37349546,0.05746084,9.854534,
2023-1-31,10:47:48.642,300,0.39264908,0.06703765,9.864111,
2023-1-31,10:47:48.663,321,0.38307226,0.10534488,9.864111,
2023-1-31,10:47:48.683,341,0.41180268,0.06703765,9.844957,
2023-1-31,10:47:48.703,361,0.39264908,0.047884032,9.816227,
2023-1-31,10:47:48.724,381,0.38307226,0.06703765,9.825804,
2023-1-31,10:47:48.750,407,0.41180268,0.12449849,9.825804,
2023-1-31,10:47:48.766,424,0.34476504,0.076614454,9.797073,
2023-1-31,10:47:48.783,440,0.36391866,0.076614454,9.864111,
2023-1-31,10:47:48.803,461,0.38307226,0.06703765,9.864111,
2023-1-31,10:47:48.823,481,0.4309563,0.06703765,9.864111,
2023-1-31,10:47:48.843,500,0.40222588,0.05746084,9.844957,
2023-1-31,10:47:48.867,525,0.34476504,0.076614454,9.892841,
2023-1-31,10:47:48.886,544,0.33518824,0.019153614,9.844957,
2023-1-31,10:47:48.904,562,0.40222588,0.05746084,9.854534,
2023-1-31,10:47:48.924,581,0.35434186,0.08619126,9.873688,
2023-1-31,10:47:48.949,607,0.4213795,0.06703765,9.835381,
2023-1-31,10:47:48.966,624,0.45010993,0.095768064,9.835381,
2023-1-31,10:47:48.983,641,0.39264908,0.02873042,9.854534,
2023-1-31,10:47:49.3,661,0.40222588,0.095768064,9.864111,
2023-1-31,10:47:49.22,680,0.39264908,0.08619126,9.835381,
2023-1-31,10:47:49.42,700,0.39264908,0.10534488,9.844957,
2023-1-31,10:47:49.65,722,0.36391866,0.06703765,9.854534,
2023-1-31,10:47:49.85,742,0.37349546,0.076614454,9.864111,
2023-1-31,10:47:49.104,761,0.4213795,0.08619126,9.864111,
2023-1-31,10:47:49.123,781,0.4309563,0.076614454,9.844957,
2023-1-31,10:47:49.153,811,0.39264908,0.076614454,9.864111,
2023-1-31,10:47:49.167,825,0.36391866,0.047884032,9.864111,
2023-1-31,10:47:49.183,840,0.38307226,0.038307227,9.864111,
2023-1-31,10:47:49.203,861,0.4309563,0.08619126,9.864111,
2023-1-31,10:47:49.224,882,0.38307226,0.05746084,9.825804,
2023-1-31,10:47:49.250,908,0.4309563,0.076614454,9.854534,
2023-1-31,10:47:49.266,923,0.37349546,0.06703765,9.854534,
2023-1-31,10:47:49.283,941,0.40222588,0.038307227,9.835381,
2023-1-31,10:47:49.303,961,0.35434186,0.095768064,9.854534,
2023-1-31,10:47:49.324,981,0.41180268,0.10534488,9.844957,
2023-1-31,10:47:49.348,1006,0.37349546,0.05746084,9.835381,
2023-1-31,10:47:49.366,1024,0.38307226,0.076614454,9.844957,
2023-1-31,10:47:49.384,1041,0.40222588,0.10534488,9.844957,
2023-1-31,10:47:49.403,1061,0.39264908,0.11492168,9.864111,
2023-1-31,10:47:49.423,1080,0.36391866,0.076614454,9.864111,
2023-1-31,10:47:49.449,1107,0.36391866,0.06703765,9.873688,
2023-1-31,10:47:49.464,1121,0.38307226,0.076614454,9.873688,
2023-1-31,10:47:49.483,1141,0.41180268,0.05746084,9.844957,
2023-1-31,10:47:49.504,1162,0.40222588,0.10534488,9.825804,
2023-1-31,10:47:49.523,1181,0.4213795,0.08619126,9.883265,
2023-1-31,10:47:49.549,1206,0.41180268,0.10534488,9.835381,
2023-1-31,10:47:49.567,1224,0.35434186,0.05746084,9.835381,
2023-1-31,10:47:49.585,1242,0.35434186,0.08619126,9.844957,
2023-1-31,10:47:49.603,1261,0.36391866,0.076614454,9.864111,
2023-1-31,10:47:49.624,1281,0.38307226,0.08619126,9.682152,
2023-1-31,10:47:49.650,1308,0.47884035,0.06703765,10.103531,
2023-1-31,10:47:49.667,1325,0.4405331,0.1436521,9.758766,
2023-1-31,10:47:49.688,1345,0.5267244,0.15322891,9.940725,
2023-1-31,10:47:49.703,1361,0.37349546,0.1340753,9.720459,
2023-1-31,10:47:49.723,1380,0.41180268,0.24899697,9.844957,
2023-1-31,10:47:49.749,1406,0.39264908,0.19153613,9.844957,
2023-1-31,10:47:49.764,1422,0.45968673,0.39264908,10.132261,
2023-1-31,10:47:49.783,1441,0.45968673,0.39264908,10.132261,
2023-1-31,10:47:49.803,1461,0.4213795,0.82360536,9.80665,
2023-1-31,10:47:49.823,1481,0.7757214,1.9919758,10.0748005,
2023-1-31,10:47:49.850,1507,0.39264908,2.1164744,9.950302,
2023-1-31,10:47:49.867,1524,0.05746084,1.8674773,9.088389,
2023-1-31,10:47:49.885,1543,-0.038307227,1.9440918,9.797073,
2023-1-31,10:47:49.903,1561,0.45010993,3.0071173,9.940725,
2023-1-31,10:47:49.923,1581,0.45968673,3.4955344,9.940725,
2023-1-31,10:47:49.952,1610,0.58418524,3.169923,9.279925,
2023-1-31,10:47:49.964,1622,1.5514427,4.3766007,9.682152,
2023-1-31,10:47:49.983,1640,1.0630256,5.085284,10.658986,
2023-1-31,10:47:50.4,1661,0.06703765,4.5298295,11.022904,
2023-1-31,10:47:50.22,1680,0.5650316,4.0318356,9.500193,
2023-1-31,10:47:50.49,1706,0.8619126,3.9839516,9.816227,
2023-1-31,10:47:50.65,1722,1.5514427,4.050989,9.730036,
2023-1-31,10:47:50.83,1741,1.2545617,3.4859576,10.132261,
2023-1-31,10:47:50.103,1761,-0.33518824,4.865018,10.160992,
2023-1-31,10:47:50.123,1781,-0.5746084,2.3080103,13.273455,
2023-1-31,10:47:50.150,1808,0.15322891,-1.5897499,11.329363,
2023-1-31,10:47:50.163,1821,0.23942018,-1.6663644,9.452309,
2023-1-31,10:47:50.184,1841,0.37349546,-1.5131354,8.781932,
2023-1-31,10:47:50.204,1862,0.33518824,-1.5610195,9.433155,
2023-1-31,10:47:50.223,1881,0.22026655,-0.31603462,-4.4244847,
2023-1-31,10:47:50.248,1905,0.10534488,0.45010993,-5.6120086,
2023-1-31,10:47:50.263,1921,0.05746084,-1.2066777,11.281479,
2023-1-31,10:47:50.283,1941,0.22984336,-1.2258313,4.960786,
2023-1-31,10:47:50.304,1961,0.06703765,-0.8619126,0.10534488,
2023-1-31,10:47:50.330,1988,-1.5227122,-2.930503,-13.685257,
2023-1-31,10:47:50.347,2005,0.34476504,-1.7621324,16.960526,
2023-1-31,10:47:50.364,2022,0.2681506,-0.16280572,1.8100165,
2023-1-31,10:47:50.383,2041,0.21068975,-1.5131354,9.988609,
2023-1-31,10:47:50.403,2061,0.2681506,-1.5610195,10.04607,
2023-1-31,10:47:50.430,2087,0.2777274,-1.733402,11.310209,
2023-1-31,10:47:50.447,2104,0.25857377,-1.3120226,9.078813,
2023-1-31,10:47:50.464,2122,0.095768064,-1.6759412,10.036493,
