DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:49:32.841,0,0.5363012,0.10534488,9.80665,
2023-1-31,10:49:32.854,13,0.48841715,0.08619126,9.77792,
2023-1-31,10:49:32.855,14,0.5267244,0.095768064,9.80665,
2023-1-31,10:49:32.860,19,0.5363012,0.11492168,9.854534,
2023-1-31,10:49:32.861,20,0.5267244,0.038307227,9.816227,
2023-1-31,10:49:32.865,23,0.49799395,0.047884032,9.844957,
2023-1-31,10:49:32.871,30,0.5363012,0.038307227,9.873688,
2023-1-31,10:49:32.887,46,0.5363012,0.038307227,9.864111,
2023-1-31,10:49:32.888,47,0.545878,0.047884032,9.854534,
2023-1-31,10:49:32.888,47,0.545878,0.047884032,9.844957,
2023-1-31,10:49:32.889,48,0.51714754,0.009576807,9.835381,
2023-1-31,10:49:32.896,54,0.49799395,-0.009576807,9.80665,
2023-1-31,10:49:32.900,58,0.51714754,0.0,9.835381,
2023-1-31,10:49:32.921,80,0.5746084,0.009576807,9.797073,
2023-1-31,10:49:32.922,81,0.545878,0.009576807,9.844957,
2023-1-31,10:49:32.923,82,0.5650316,0.019153614,9.883265,
2023-1-31,10:49:32.923,82,0.545878,0.038307227,9.835381,
2023-1-31,10:49:32.924,83,0.5746084,0.009576807,9.873688,
2023-1-31,10:49:32.930,89,0.59376204,0.02873042,9.854534,
2023-1-31,10:49:32.934,93,0.545878,0.02873042,9.80665,
2023-1-31,10:49:32.942,101,0.5746084,0.06703765,9.835381,
2023-1-31,10:49:32.945,104,0.5554548,0.038307227,9.80665,
2023-1-31,10:49:32.950,108,0.5650316,0.076614454,9.816227,
2023-1-31,10:49:32.963,122,0.5363012,0.06703765,9.844957,
2023-1-31,10:49:32.965,124,0.50757074,0.019153614,9.825804,
2023-1-31,10:49:32.968,126,0.58418524,0.02873042,9.835381,
2023-1-31,10:49:32.971,129,0.545878,0.02873042,9.835381,
2023-1-31,10:49:32.979,138,0.5746084,0.047884032,9.864111,
2023-1-31,10:49:32.980,139,0.5363012,0.05746084,9.844957,
2023-1-31,10:49:32.985,143,0.5363012,0.038307227,9.825804,
2023-1-31,10:49:33.2,161,0.5650316,0.05746084,9.835381,
2023-1-31,10:49:33.3,162,0.545878,0.038307227,9.825804,
2023-1-31,10:49:33.5,163,0.5363012,0.02873042,9.825804,
2023-1-31,10:49:33.5,164,0.545878,0.02873042,9.825804,
2023-1-31,10:49:33.20,178,0.50757074,0.02873042,9.844957,
2023-1-31,10:49:33.21,180,0.5746084,0.038307227,9.825804,
2023-1-31,10:49:33.22,180,0.5650316,0.019153614,9.854534,
2023-1-31,10:49:33.29,188,0.545878,0.019153614,9.825804,
2023-1-31,10:49:33.30,189,0.51714754,0.047884032,9.825804,
2023-1-31,10:49:33.34,193,0.50757074,0.019153614,9.816227,
2023-1-31,10:49:33.52,211,0.545878,0.047884032,9.854534,
2023-1-31,10:49:33.53,212,0.545878,0.038307227,9.854534,
2023-1-31,10:49:33.54,212,0.545878,0.02873042,9.835381,
2023-1-31,10:49:33.54,213,0.5650316,0.047884032,9.844957,
2023-1-31,10:49:33.75,234,0.545878,0.02873042,9.844957,
2023-1-31,10:49:33.75,234,0.5554548,0.019153614,9.825804,
2023-1-31,10:49:33.76,235,0.59376204,0.019153614,9.854534,
2023-1-31,10:49:33.77,236,0.5554548,0.019153614,9.854534,
2023-1-31,10:49:33.82,241,0.5650316,0.019153614,9.835381,
2023-1-31,10:49:33.84,243,0.58418524,0.019153614,9.835381,
2023-1-31,10:49:33.91,250,0.60333884,0.02873042,9.844957,
2023-1-31,10:49:33.95,253,0.5650316,0.038307227,9.816227,
2023-1-31,10:49:33.99,258,0.545878,0.02873042,9.854534,
2023-1-31,10:49:33.113,272,0.58418524,0.038307227,9.835381,
2023-1-31,10:49:33.114,273,0.5746084,0.05746084,9.854534,
2023-1-31,10:49:33.114,273,0.5554548,0.038307227,9.825804,
2023-1-31,10:49:33.119,278,0.545878,0.076614454,9.825804,
2023-1-31,10:49:33.126,285,0.545878,0.038307227,9.844957,
2023-1-31,10:49:33.129,288,0.5554548,0.06703765,9.816227,
2023-1-31,10:49:33.135,294,0.58418524,0.05746084,9.844957,
2023-1-31,10:49:33.145,303,0.5267244,0.009576807,9.825804,
2023-1-31,10:49:33.146,305,0.5363012,0.019153614,9.825804,
2023-1-31,10:49:33.150,309,0.51714754,-0.009576807,9.835381,
2023-1-31,10:49:33.154,313,0.5363012,0.019153614,9.835381,
2023-1-31,10:49:33.165,324,0.545878,0.019153614,9.854534,
2023-1-31,10:49:33.167,326,0.545878,0.019153614,9.873688,
2023-1-31,10:49:33.168,327,0.5363012,0.0,9.854534,
2023-1-31,10:49:33.178,337,0.5267244,0.019153614,9.835381,
2023-1-31,10:49:33.179,338,0.5363012,-0.009576807,9.835381,
2023-1-31,10:49:33.183,342,0.51714754,0.02873042,9.816227,
2023-1-31,10:49:33.193,352,0.5363012,0.047884032,9.835381,
2023-1-31,10:49:33.194,353,0.5554548,0.038307227,9.835381,
2023-1-31,10:49:33.199,357,0.5650316,0.038307227,9.825804,
2023-1-31,10:49:33.203,362,0.5650316,0.06703765,9.825804,
2023-1-31,10:49:33.210,369,0.5746084,0.06703765,9.844957,
2023-1-31,10:49:33.213,372,0.545878,0.076614454,9.835381,
2023-1-31,10:49:33.218,377,0.5650316,0.038307227,9.80665,
2023-1-31,10:49:33.226,385,0.545878,0.05746084,9.835381,
2023-1-31,10:49:33.228,387,0.5554548,0.02873042,9.825804,
2023-1-31,10:49:33.233,392,0.5650316,0.02873042,9.825804,
2023-1-31,10:49:33.243,402,0.5554548,0.02873042,9.80665,
2023-1-31,10:49:33.244,403,0.5554548,0.009576807,9.844957,
2023-1-31,10:49:33.248,407,0.545878,0.009576807,9.844957,
2023-1-31,10:49:33.253,412,0.5554548,0.02873042,9.835381,
2023-1-31,10:49:33.259,418,0.51714754,0.009576807,9.825804,
2023-1-31,10:49:33.265,424,0.545878,0.0,9.825804,
2023-1-31,10:49:33.269,428,0.5363012,0.02873042,9.854534,
2023-1-31,10:49:33.275,434,0.5554548,0.02873042,9.825804,
2023-1-31,10:49:33.279,438,0.545878,0.02873042,9.825804,
2023-1-31,10:49:33.284,442,0.5363012,0.038307227,9.825804,
2023-1-31,10:49:33.292,451,0.5650316,0.038307227,9.835381,
2023-1-31,10:49:33.293,452,0.5363012,0.02873042,9.787497,
2023-1-31,10:49:33.299,457,0.5554548,0.05746084,9.844957,
2023-1-31,10:49:33.302,461,0.545878,0.05746084,9.873688,
2023-1-31,10:49:33.312,471,0.545878,0.05746084,9.825804,
2023-1-31,10:49:33.313,472,0.5650316,0.05746084,9.854534,
2023-1-31,10:49:33.319,478,0.5554548,0.038307227,9.854534,
2023-1-31,10:49:33.328,486,0.5267244,0.019153614,9.816227,
2023-1-31,10:49:33.329,488,0.5650316,-0.009576807,9.80665,
2023-1-31,10:49:33.334,493,0.5650316,0.019153614,9.787497,
2023-1-31,10:49:33.344,502,0.5746084,0.038307227,9.844957,
2023-1-31,10:49:33.345,503,0.5363012,0.019153614,9.873688,
2023-1-31,10:49:33.347,506,0.5746084,-0.009576807,9.825804,
2023-1-31,10:49:33.352,511,0.5746084,0.019153614,9.825804,
2023-1-31,10:49:33.360,519,0.5554548,0.009576807,9.854534,
2023-1-31,10:49:33.363,521,0.5554548,0.009576807,9.835381,
2023-1-31,10:49:33.367,526,0.5554548,0.047884032,9.835381,
2023-1-31,10:49:33.376,535,0.5363012,0.047884032,9.854534,
2023-1-31,10:49:33.377,536,0.5650316,0.06703765,9.835381,
2023-1-31,10:49:33.383,542,0.5746084,0.06703765,9.816227,
2023-1-31,10:49:33.393,552,0.5554548,0.076614454,9.854534,
2023-1-31,10:49:33.394,553,0.5650316,0.05746084,9.835381,
2023-1-31,10:49:33.397,556,0.5650316,0.076614454,9.844957,
2023-1-31,10:49:33.403,562,0.5746084,0.08619126,9.835381,
2023-1-31,10:49:33.412,570,0.51714754,0.047884032,9.825804,
