DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:45:50.800,0,0.545878,0.038307227,9.816227,
2023-1-31,10:45:51.2,201,0.5363012,0.038307227,9.854534,
2023-1-31,10:45:51.202,402,0.59376204,0.038307227,9.854534,
2023-1-31,10:45:51.404,603,0.51714754,0.08619126,9.844957,
2023-1-31,10:45:51.604,803,0.5267244,0.02873042,9.854534,
2023-1-31,10:45:51.803,1002,0.545878,0.019153614,9.854534,
2023-1-31,10:45:52.2,1201,0.5554548,0.019153614,9.844957,
2023-1-31,10:45:52.203,1403,0.5650316,0.019153614,9.816227,
2023-1-31,10:45:52.400,1600,0.51714754,0.06703765,9.864111,
2023-1-31,10:45:52.602,1802,0.46926352,-0.02873042,9.710882,
2023-1-31,10:45:52.800,2000,0.7469909,2.4229321,9.615114,
2023-1-31,10:45:53.3,2202,0.24899697,4.003105,11.980585,
2023-1-31,10:45:53.204,2403,0.25857377,-0.9959879,1.2737153,
2023-1-31,10:45:53.404,2603,0.30645782,-1.5897499,11.300632,
2023-1-31,10:45:53.600,2800,0.4213795,-1.934515,9.730036,
2023-1-31,10:45:53.802,3002,0.2777274,0.009576807,9.892841,
2023-1-31,10:45:54.2,3201,0.36391866,-0.038307227,9.864111,
2023-1-31,10:45:54.202,3401,0.25857377,-0.02873042,9.854534,
2023-1-31,10:45:54.402,3602,0.32561144,0.05746084,9.854534,
2023-1-31,10:45:54.604,3803,0.29688102,-0.047884032,9.854534,
2023-1-31,10:45:54.803,4002,0.34476504,-0.019153614,9.835381,
2023-1-31,10:45:55.2,4201,0.29688102,-0.06703765,9.854534,
2023-1-31,10:45:55.202,4401,0.2873042,-0.019153614,9.854534,
2023-1-31,10:45:55.400,4600,0.2873042,0.0,9.854534,
2023-1-31,10:45:55.600,4800,0.29688102,-0.076614454,9.844957,
2023-1-31,10:45:55.806,5006,0.31603462,0.0,9.864111,
