DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:47:33.60,0,0.5746084,0.038307227,9.911995,
2023-1-31,10:47:33.126,66,0.5746084,0.02873042,9.844957,
2023-1-31,10:47:33.194,134,0.5746084,0.047884032,9.873688,
2023-1-31,10:47:33.259,199,0.5650316,0.05746084,9.864111,
2023-1-31,10:47:33.325,265,0.5650316,0.02873042,9.873688,
2023-1-31,10:47:33.394,333,0.58418524,-0.009576807,9.873688,
2023-1-31,10:47:33.459,398,0.5746084,0.06703765,9.844957,
2023-1-31,10:47:33.525,465,0.5746084,0.009576807,9.864111,
2023-1-31,10:47:33.592,531,0.545878,0.047884032,9.844957,
2023-1-31,10:47:33.657,597,0.60333884,0.009576807,9.873688,
2023-1-31,10:47:33.724,664,0.5746084,0.038307227,9.835381,
2023-1-31,10:47:33.790,729,0.5746084,0.02873042,9.844957,
2023-1-31,10:47:33.855,795,0.5650316,0.02873042,9.864111,
2023-1-31,10:47:33.922,861,0.5650316,0.0,9.825804,
2023-1-31,10:47:33.987,926,0.5554548,0.038307227,9.873688,
2023-1-31,10:47:34.54,993,0.5746084,0.047884032,9.835381,
2023-1-31,10:47:34.119,1058,0.5650316,0.05746084,9.854534,
2023-1-31,10:47:34.186,1125,0.58418524,0.02873042,9.825804,
2023-1-31,10:47:34.252,1192,0.5554548,0.019153614,9.854534,
2023-1-31,10:47:34.317,1257,0.545878,0.047884032,9.864111,
2023-1-31,10:47:34.384,1323,0.5746084,0.038307227,9.864111,
2023-1-31,10:47:34.449,1388,0.5746084,0.02873042,9.883265,
2023-1-31,10:47:34.520,1459,0.5746084,0.10534488,9.825804,
2023-1-31,10:47:34.580,1519,0.076614454,1.3024458,9.80665,
2023-1-31,10:47:34.648,1587,0.641646,1.6376339,9.385271,
2023-1-31,10:47:34.714,1654,0.17238252,5.755661,10.01734,
2023-1-31,10:47:34.779,1719,1.7046716,3.016694,9.174581,
2023-1-31,10:47:34.844,1784,-0.31603462,3.9264908,9.586384,
2023-1-31,10:47:34.911,1850,0.46926352,-1.5993267,11.291056,
2023-1-31,10:47:34.977,1917,0.5554548,-1.3120226,9.797073,
2023-1-31,10:47:35.44,1983,0.17238252,-0.35434186,1.1300632,
2023-1-31,10:47:35.108,2047,-0.05746084,0.80445176,-20.446482,
2023-1-31,10:47:35.175,2115,1.5897499,-1.2066777,21.049822,
2023-1-31,10:47:35.242,2181,0.82360536,-1.4173675,9.758766,
2023-1-31,10:47:35.307,2247,0.7182605,-1.3599066,8.762778,
2023-1-31,10:47:35.373,2313,0.641646,-1.3215994,10.611102,
2023-1-31,10:47:35.439,2378,0.6895301,-1.3311762,10.036493,
2023-1-31,10:47:35.506,2445,0.92895025,-1.2066777,9.346964,
2023-1-31,10:47:35.571,2511,0.93852705,-1.0151415,9.56723,
2023-1-31,10:47:35.637,2577,0.2873042,0.02873042,9.797073,
2023-1-31,10:47:35.704,2643,0.2777274,0.02873042,9.883265,
2023-1-31,10:47:35.769,2709,0.2873042,0.05746084,9.835381,
2023-1-31,10:47:35.836,2776,0.2873042,0.02873042,9.854534,
2023-1-31,10:47:35.901,2841,0.2777274,0.047884032,9.835381,
2023-1-31,10:47:35.967,2907,0.2777274,0.047884032,9.854534,
2023-1-31,10:47:36.34,2974,0.2681506,0.0,9.864111,
2023-1-31,10:47:36.99,3039,0.33518824,0.02873042,9.864111,
2023-1-31,10:47:36.166,3106,0.22026655,-0.009576807,9.816227,
2023-1-31,10:47:36.232,3171,0.41180268,-0.02873042,9.864111,
2023-1-31,10:47:36.298,3237,0.15322891,0.076614454,9.854534,
2023-1-31,10:47:36.364,3304,0.30645782,0.06703765,9.864111,
2023-1-31,10:47:36.430,3369,0.29688102,-0.076614454,9.864111,
2023-1-31,10:47:36.496,3436,0.35434186,0.11492168,9.844957,
2023-1-31,10:47:36.562,3502,0.24899697,-0.05746084,9.873688,
2023-1-31,10:47:36.627,3567,0.34476504,0.02873042,9.854534,
2023-1-31,10:47:36.693,3633,0.24899697,0.038307227,9.854534,
2023-1-31,10:47:36.766,3706,0.34476504,0.02873042,9.854534,
2023-1-31,10:47:36.822,3762,0.2777274,0.009576807,9.883265,
