DATE,TIME,DURATION[ms],X[m/s^2],Y[m/s^2],Z[m/s^2]
2023-1-31,10:48:41.32,0,0.45968673,0.08619126,9.921572,
2023-1-31,10:48:41.46,15,0.45968673,0.08619126,9.797073,
2023-1-31,10:48:41.66,35,0.45010993,0.02873042,9.835381,
2023-1-31,10:48:41.90,58,0.49799395,0.02873042,9.873688,
2023-1-31,10:48:41.106,75,0.46926352,0.06703765,9.80665,
2023-1-31,10:48:41.127,96,0.50757074,0.10534488,9.835381,
2023-1-31,10:48:41.148,116,0.47884035,0.06703765,9.835381,
2023-1-31,10:48:41.167,136,0.45968673,0.038307227,9.844957,
2023-1-31,10:48:41.193,162,0.46926352,0.05746084,9.864111,
2023-1-31,10:48:41.206,175,0.47884035,0.06703765,9.825804,
2023-1-31,10:48:41.227,195,0.47884035,0.05746084,9.873688,
2023-1-31,10:48:41.247,215,0.4405331,0.02873042,9.844957,
2023-1-31,10:48:41.267,236,0.51714754,0.038307227,9.864111,
2023-1-31,10:48:41.291,260,0.46926352,0.05746084,9.854534,
2023-1-31,10:48:41.306,275,0.46926352,0.095768064,9.844957,
2023-1-31,10:48:41.326,295,0.48841715,0.076614454,9.835381,
2023-1-31,10:48:41.348,317,0.47884035,0.038307227,9.844957,
2023-1-31,10:48:41.380,349,0.46926352,0.047884032,9.844957,
2023-1-31,10:48:41.387,356,0.47884035,0.019153614,9.864111,
2023-1-31,10:48:41.417,386,0.47884035,0.05746084,9.864111,
2023-1-31,10:48:41.428,396,0.46926352,0.095768064,9.873688,
2023-1-31,10:48:41.447,416,0.50757074,0.038307227,9.864111,
2023-1-31,10:48:41.471,440,0.47884035,0.019153614,9.835381,
2023-1-31,10:48:41.490,459,0.47884035,0.06703765,9.854534,
2023-1-31,10:48:41.508,476,0.45968673,0.095768064,9.873688,
2023-1-31,10:48:41.528,496,0.24899697,0.1340753,8.42759,
2023-1-31,10:48:41.547,516,0.05746084,0.15322891,7.97748,
2023-1-31,10:48:41.573,542,0.40222588,0.06703765,9.653421,
2023-1-31,10:48:41.590,558,0.46926352,0.10534488,10.04607,
2023-1-31,10:48:41.608,576,0.4309563,0.095768064,9.749189,
2023-1-31,10:48:41.629,598,0.45010993,-0.009576807,9.816227,
2023-1-31,10:48:41.655,624,0.45968673,0.019153614,9.873688,
2023-1-31,10:48:41.670,639,0.4405331,0.047884032,9.854534,
2023-1-31,10:48:41.687,656,0.45010993,0.08619126,9.816227,
2023-1-31,10:48:41.708,676,0.45968673,0.08619126,9.835381,
2023-1-31,10:48:41.727,695,0.45968673,0.076614454,9.854534,
2023-1-31,10:48:41.746,715,0.45968673,0.32561144,9.864111,
2023-1-31,10:48:41.771,739,0.31603462,0.5650316,9.835381,
2023-1-31,10:48:41.789,758,0.1436521,1.5993267,9.672575,
2023-1-31,10:48:41.808,776,0.05746084,1.9057846,10.611102,
2023-1-31,10:48:41.827,796,-0.45010993,1.7621324,9.481039,
2023-1-31,10:48:41.846,815,-0.47884035,2.4995465,8.236053,
2023-1-31,10:48:41.873,842,0.62249243,3.7253778,9.787497,
2023-1-31,10:48:41.889,858,2.1260512,5.7843914,9.078813,
2023-1-31,10:48:41.907,876,1.2641385,8.178593,9.471462,
2023-1-31,10:48:41.927,896,0.80445176,8.494628,9.528923,
2023-1-31,10:48:41.947,915,0.6991069,6.3781533,10.208876,
2023-1-31,10:48:41.974,943,0.5363012,5.2480903,8.686164,
2023-1-31,10:48:41.992,960,1.0821792,4.0222588,11.683704,
2023-1-31,10:48:42.7,975,0.29688102,1.4077905,10.802638,
2023-1-31,10:48:42.28,996,-0.7278373,0.46926352,9.749189,
2023-1-31,10:48:42.54,1023,-0.25857377,0.2873042,8.628703,
2023-1-31,10:48:42.75,1044,0.39264908,-1.2545617,9.442732,
2023-1-31,10:48:42.90,1059,0.4213795,-1.436521,8.111555,
2023-1-31,10:48:42.107,1076,0.45010993,-1.4460979,9.500193,
2023-1-31,10:48:42.127,1096,0.50757074,-1.5514427,10.390836,
2023-1-31,10:48:42.147,1116,0.4213795,-1.5131354,9.950302,
2023-1-31,10:48:42.171,1139,0.5267244,-1.5705963,10.5440645,
2023-1-31,10:48:42.188,1156,0.37349546,-1.3599066,8.762778,
2023-1-31,10:48:42.207,1176,1.541866,-9.701305,78.4532,
2023-1-31,10:48:42.228,1197,0.24899697,-0.40222588,4.912902,
2023-1-31,10:48:42.253,1222,0.1340753,-1.2354081,11.63582,
2023-1-31,10:48:42.272,1241,0.38307226,-1.1492168,1.4939818,
2023-1-31,10:48:42.287,1256,0.38307226,-1.1492168,1.4939818,
2023-1-31,10:48:42.307,1276,0.18195933,-0.10534488,-0.5746084,
2023-1-31,10:48:42.329,1297,0.06703765,0.36391866,-4.405331,
2023-1-31,10:48:42.355,1324,0.009576807,-0.8714894,6.0238113,
2023-1-31,10:48:42.375,1343,0.32561144,-1.0726024,6.8761473,
2023-1-31,10:48:42.389,1358,0.32561144,-1.0726024,6.8761473,
2023-1-31,10:48:42.408,1377,0.5650316,-1.7621324,14.384364,
2023-1-31,10:48:42.427,1396,0.5746084,-1.532289,9.519346,
2023-1-31,10:48:42.454,1423,0.5267244,-1.3024458,8.7053175,
2023-1-31,10:48:42.468,1437,0.37349546,-1.541866,11.492168,
2023-1-31,10:48:42.487,1455,0.47884035,-1.4939818,8.283937,
2023-1-31,10:48:42.508,1477,0.45010993,-1.7238252,10.0748005,
2023-1-31,10:48:42.527,1495,0.46926352,-1.685518,10.553641,
2023-1-31,10:48:42.555,1524,0.45010993,-1.4748282,8.781932,
2023-1-31,10:48:42.573,1541,0.4405331,-1.6376339,10.448297,
2023-1-31,10:48:42.587,1556,0.33518824,-1.5993267,9.739613,
2023-1-31,10:48:42.607,1576,0.33518824,-1.5993267,9.739613,
2023-1-31,10:48:42.630,1598,0.32561144,-1.532289,10.189722,
2023-1-31,10:48:42.654,1623,0.4309563,-1.484405,9.490616,
2023-1-31,10:48:42.672,1641,0.4309563,-1.484405,9.490616,
2023-1-31,10:48:42.689,1657,0.4405331,-1.4556746,10.726024,
2023-1-31,10:48:42.707,1675,0.5267244,-1.3790601,9.3661175,
2023-1-31,10:48:42.727,1695,0.46926352,-1.13964,10.28549,
2023-1-31,10:48:42.748,1716,0.33518824,-0.08619126,10.28549,
2023-1-31,10:48:42.774,1742,0.22026655,0.02873042,9.634268,
2023-1-31,10:48:42.789,1757,0.21068975,0.0,9.481039,
2023-1-31,10:48:42.807,1776,0.22984336,-0.076614454,9.710882,
2023-1-31,10:48:42.827,1796,0.29688102,-0.10534488,9.969456,
2023-1-31,10:48:42.855,1824,0.33518824,-0.02873042,9.940725,
2023-1-31,10:48:42.872,1840,0.2873042,-0.038307227,9.940725,
2023-1-31,10:48:42.888,1856,0.23942018,-0.06703765,9.797073,
2023-1-31,10:48:42.907,1876,0.23942018,-0.038307227,9.77792,
2023-1-31,10:48:42.927,1896,0.2873042,-0.05746084,9.825804,
2023-1-31,10:48:42.954,1923,0.29688102,-0.08619126,9.835381,
2023-1-31,10:48:42.970,1938,0.2777274,-0.047884032,9.892841,
2023-1-31,10:48:42.988,1956,0.2681506,-0.05746084,9.902418,
2023-1-31,10:48:43.9,1977,0.25857377,0.0,9.835381,
2023-1-31,10:48:43.27,1996,0.25857377,-0.02873042,9.825804,
